alunoId,cursos
1741573,123628|124318|124300|124079|121377|123056|123750|123780|123627|124107|920076|123377|920095|124168|124367|920094|124409|124115|123663|124843|123235|124093|123616|124167|123684|920089|920082|10004|124150|124883|123738|123738|121579|122760|920083|122181|123654|124000|124177|123632|124179|124180|124423|124099|920085|124386|920090|123053|920081|123703|123547|120292|920091|920092|920086|120808|120808|121555|121439|121440|123821|123230|122430|124148|124354|124083|123944|920087|123465|123690|920088|122180|122180|123717|124334
1748790,123628|920089|10004|920084|920085|920091
1749375,123628|920080|920083|122181|920084|920085|920090|920081|920091
1768905,123628|920089|123654|920091|920087
1769087,123628|124270|123260
1769865,123628|123763|920084|920085|920081|920091|920088
1771130,123628|920082|920084|920081|920091
1773522,123628|123413|124328|123627|124141|920094|123279|920080|920113|920089|920089|920082|920084|920085|920085|920090|920090|920081|920081|920081|123596|120292|920091|124637|120808|121555|124354|920087
1780089,123628|123628|920080|920080|920089|920089|920084|920084|920090|920090|920091|123556
1785921,123628|123628|123758|920085|123486|123486|123920
1789366,123628|920094|920080|920080|920082|920082|920083|920084|920084|920085|920085|920081|920081|920081|920091|920087|920087|920087
1791606,124
1791640,123628|11119|123652|10005|920081|122190|123465
1792959,123628|123758|123758|10006|124168|920094|920094|124167|122129|123586|124597|123486|123599|123920|123920
1793468,123628|920089|920085
1795065,123628|123413|124300|121377|121377|123750|121569|123866|122060|124098|920082|123115|124028|123065|10005|123231|123868|123621|120292|120808|121917|123260|123120|124148|124354|123438|123072|123927|123544
1795261,123628|123735|124093|920082|123552|121579|124290|920083|920083|920085|121999|920081|123596|123082|10007|10008|920101|120808|123841|920087|123728|920088|122180
1797361,123628|123604|123596
1799967,123628|124168|124167|123586|123486|124592|123920
1804400,123628|920080|920084|920081|920091|920091
1805427,123628|123586|124140
955527,1236
1135511,124318|123619|123619|920089|123115|920083|920083|123122|124000|920085|121715|920081|120292|920091|920086|124577|124140|123927
1250120,124
1278841,124318|920094|920080|920082|920083|920090|920081|124280|920091|920086|920088
1283227,124
